Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/10/2020,02/01/2020,06/06/2020,United States,Female,85 years and over,"19,271","208,942","19,230","7,361",786,"31,842",
06/10/2020,02/01/2020,06/06/2020,United States,Female,All ages,"44,209","526,700","49,373","18,543","3,117","77,798",
06/10/2020,02/01/2020,06/06/2020,United States,Unknown,All ages,2,46,3,2,0,3,
06/10/2020,02/01/2020,06/06/2020,United States Total,All,All Ages,"95,608","1,091,256","106,833","41,638","6,390","166,265",
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,Under 1 year,0,65,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,1-4 years,0,14,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,5-14 years,0,23,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,15-24 years,0,147,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,25-34 years,,252,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,35-44 years,,377,20,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,45-54 years,28,712,36,,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,55-64 years,51,"1,688",115,11,15,170,
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,65-74 years,96,"2,319",175,27,15,259,
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,75-84 years,85,"2,416",203,26,,269,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,85 years and over,88,"1,740",136,25,,204,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Male,All ages,356,"9,753",692,101,54,"1,000",
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,Under 1 year,0,40,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,1-4 years,0,14,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,5-14 years,0,13,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,15-24 years,0,57,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,25-34 years,,127,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,35-44 years,,223,,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,45-54 years,16,479,26,,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,55-64 years,39,"1,132",98,,,138,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,65-74 years,68,"1,759",116,24,11,171,
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,75-84 years,79,"2,357",155,28,,211,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,85 years and over,88,"2,919",153,26,,217,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alabama,Female,All ages,297,"9,120",563,88,37,807,
06/10/2020,02/01/2020,06/06/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alabama Total,All,All Ages,653,"18,873","1,255",189,91,"1,807",
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,15-24 years,0,25,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,25-34 years,0,32,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,35-44 years,0,34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,45-54 years,0,59,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,55-64 years,0,134,10,0,0,10,
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,65-74 years,,170,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,75-84 years,0,186,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,85 years and over,,115,10,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Male,All ages,,770,35,,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,25-34 years,,20,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,35-44 years,0,34,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,45-54 years,,36,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,55-64 years,,89,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,65-74 years,,131,12,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,75-84 years,0,119,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,85 years and over,0,143,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Female,All ages,,587,29,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Alaska Total,All,All Ages,,"1,357",64,,,74,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,Under 1 year,0,69,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,1-4 years,0,22,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,5-14 years,,25,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,15-24 years,,262,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,25-34 years,11,407,11,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,35-44 years,10,462,19,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,45-54 years,29,792,47,16,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,55-64 years,55,"1,736",133,30,13,171,
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,65-74 years,83,"2,727",230,45,14,282,
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,75-84 years,131,"3,272",294,65,12,372,
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,85 years and over,125,"2,808",229,58,10,306,
06/10/2020,02/01/2020,06/06/2020,Arizona,Male,All ages,449,"12,582",969,230,60,"1,248",
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,Under 1 year,0,62,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,1-4 years,0,19,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,5-14 years,0,19,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,15-24 years,0,80,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,25-34 years,,188,12,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,35-44 years,,232,13,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,45-54 years,18,406,31,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,55-64 years,40,"1,106",106,23,10,133,
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,65-74 years,65,"1,950",163,37,15,206,
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,75-84 years,91,"2,849",232,46,10,287,
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,85 years and over,141,"3,870",279,70,,357,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arizona,Female,All ages,365,"10,781",842,186,50,"1,071",
06/10/2020,02/01/2020,06/06/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Arizona Total,All,All Ages,814,"23,363","1,811",416,110,"2,319",
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,Under 1 year,0,45,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,1-4 years,0,11,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,5-14 years,0,12,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,15-24 years,,88,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,25-34 years,,164,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,35-44 years,0,227,15,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,45-54 years,,402,22,,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,55-64 years,12,989,65,,11,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,65-74 years,15,"1,443",96,10,11,112,
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,75-84 years,25,"1,501",114,,,138,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,85 years and over,,"1,063",100,,,107,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Male,All ages,70,"5,945",421,28,40,503,
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,Under 1 year,0,25,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,1-4 years,0,11,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,15-24 years,0,33,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,25-34 years,0,81,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,35-44 years,,136,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,45-54 years,0,287,24,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,55-64 years,,621,51,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,65-74 years,,"1,043",69,,10,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,75-84 years,,"1,388",83,,,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,85 years and over,30,"1,813",108,,,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Arkansas,Female,All ages,54,"5,444",345,13,35,421,
06/10/2020,02/01/2020,06/06/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Arkansas Total,All,All Ages,124,"11,389",766,41,75,924,
06/10/2020,02/01/2020,06/06/2020,California,Male,Under 1 year,0,318,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Male,1-4 years,0,62,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Male,5-14 years,0,96,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Male,15-24 years,,830,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Male,25-34 years,27,"1,562",47,17,,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Male,35-44 years,64,"1,963",119,36,10,157,
06/10/2020,02/01/2020,06/06/2020,California,Male,45-54 years,159,"3,514",266,79,33,379,
06/10/2020,02/01/2020,06/06/2020,California,Male,55-64 years,315,"7,785",635,172,71,849,
06/10/2020,02/01/2020,06/06/2020,California,Male,65-74 years,507,"11,073","1,111",274,62,"1,405",
06/10/2020,02/01/2020,06/06/2020,California,Male,75-84 years,546,"12,366","1,385",326,56,"1,661",
06/10/2020,02/01/2020,06/06/2020,California,Male,85 years and over,511,"13,711","1,423",279,52,"1,707",
06/10/2020,02/01/2020,06/06/2020,California,Male,All ages,"2,131","53,280","5,014","1,184",300,"6,260",
06/10/2020,02/01/2020,06/06/2020,California,Female,Under 1 year,0,239,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Female,1-4 years,0,38,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Female,5-14 years,0,61,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Female,15-24 years,,267,12,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Female,25-34 years,,585,22,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California,Female,35-44 years,24,945,56,10,10,80,
06/10/2020,02/01/2020,06/06/2020,California,Female,45-54 years,64,"1,982",155,39,21,201,
06/10/2020,02/01/2020,06/06/2020,California,Female,55-64 years,139,"4,666",393,79,46,499,
06/10/2020,02/01/2020,06/06/2020,California,Female,65-74 years,277,"7,603",720,165,47,879,
06/10/2020,02/01/2020,06/06/2020,California,Female,75-84 years,408,"11,175","1,068",237,69,"1,308",
06/10/2020,02/01/2020,06/06/2020,California,Female,85 years and over,752,"19,923","1,794",413,62,"2,195",
06/10/2020,02/01/2020,06/06/2020,California,Female,All ages,"1,671","47,484","4,228",945,269,"5,223",
06/10/2020,02/01/2020,06/06/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,California Total,All,All Ages,"3,802","100,765","9,242","2,129",569,"11,483",
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,Under 1 year,0,60,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,5-14 years,0,21,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,15-24 years,,170,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,25-34 years,,320,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,35-44 years,12,411,20,,,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,45-54 years,38,596,40,20,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,55-64 years,81,"1,245",112,40,10,163,
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,65-74 years,162,"1,810",217,93,10,296,
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,75-84 years,209,"1,990",249,128,,334,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,85 years and over,235,"1,953",218,115,10,346,
06/10/2020,02/01/2020,06/06/2020,Colorado,Male,All ages,746,"8,584",866,407,46,"1,249",
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,Under 1 year,0,59,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,5-14 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,15-24 years,,59,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,25-34 years,,124,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,35-44 years,,180,,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,45-54 years,10,333,23,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,55-64 years,30,749,66,21,11,86,
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,65-74 years,103,"1,256",115,48,,177,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,75-84 years,157,"1,736",186,71,,277,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,85 years and over,273,"2,975",278,131,13,433,
06/10/2020,02/01/2020,06/06/2020,Colorado,Female,All ages,582,"7,485",683,277,48,"1,033",
06/10/2020,02/01/2020,06/06/2020,Colorado,Unknown,All ages,0,0,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Colorado Total,All,All Ages,"1,328","16,069","1,549",684,94,"2,282",
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,Under 1 year,0,12,0,0,0,0,
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,15-24 years,,26,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,25-34 years,,77,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,35-44 years,,106,,0,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
06/10/2020,02/01/2020,06/06/2020,Connecticut,Male,45-54 years,36,209,13,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
